# Dictionary for clothing corpus (N = 100 documents)
# Vocabulary size (M) = 127
# term                    df
#------------------------------
100                      5
activ                    5
avail                  100
beig                     6
black                   19
blend                   30
blue                    16
border                  10
breathabl               20
button                  10
care                    17
casual                 100
check                    5
chiffon                  5
closur                  10
colour                 100
colourfast              17
comfort                100
common                 100
construct               17
cotton                  58
crew                     5
daili                    5
denim                   15
depend                 100
design                 100
dress                   10
durabl                  23
easi                    17
essenti                100
everyday               100
fabric                  51
featur                 100
festiv                 100
finish                  17
fit                     45
fleec                   15
fli                     10
floral                   2
friendli                17
garment                100
graphic                  5
green                    8
grey                    13
handloom                 5
high                    10
hoodi                   10
indian                 100
jacket                  10
jean                    10
kangaroo                10
kurta                   10
l                       20
lavend                   1
leg                     10
light                    1
lightweight             10
linen                   10
m                       20
machin                  10
made                   100
maroon                   9
men                     35
midi                     5
minim                   16
mustard                  3
navi                    10
neck                     5
nylon                    5
offic                  100
oliv                    10
overs                   10
pair                   100
pink                     6
pocket                  10
poli                    10
polyest                  5
print                   20
puffer                   5
pullov                   5
purpl                    1
quilt                   10
red                      2
regular                100
s                       20
sare                    10
shirt                   20
short                   10
shrinkag                16
size                   100
skin                    17
sky                      2
sleev                   10
slim                    15
slub                     5
solid                    5
spandex                  5
standard               100
stitch                  23
straight                 5
stretch                 13
stripe                   5
style                  100
suitabl                100
sweatshirt              10
t                       10
teal                     2
travel                 100
unisex                   5
use                    100
viscos                  10
waist                   10
waistband               10
wardrob                100
warm                    20
washabl                 10
wear                   100
well                   100
white                    4
wine                     3
winter                  20
women                   60
work                   100
xl                      20
xxl                     20
yellow                   2
zip                     10
